TL,VL,TA,VA
2.8410567612875077,1.7720943263598852,0.2578148258410241,0.5245535714285714
1.2278042793273927,0.9146795272827148,0.6704376302470973,0.7522321428571429
0.5212711955110232,0.7237678893974849,0.8544209586186365,0.8258928571428571
0.2483804007193872,0.519182590501649,0.9279547484370348,0.8616071428571429
0.1371812246651167,0.4156087932309934,0.9612980053587378,0.890625
0.08230455315982302,0.5082097042884145,0.9782673414706758,0.859375
0.08694093201220746,0.5211955841098513,0.9794581720750223,0.8683035714285714
0.05052310055609615,0.36755963574562756,0.9874962786543614,0.90625
0.02518202123742196,0.41935345849820543,0.994343554629354,0.8950892857142857
0.025459504679089324,0.4042902072625501,0.9937481393271808,0.8995535714285714
